employee_id,employee_name,month,salary_amount
LSH001,宋江,202201,50000
LSH001,宋江,202202,50000
LSH001,宋江,202203,50000
LSH001,宋江,202204,50000
LSH001,宋江,202205,50000
LSH001,宋江,202206,50000
LSH001,宋江,202207,50000
LSH001,宋江,202208,50000
LSH001,宋江,202209,50000
LSH001,宋江,202210,50000
LSH001,宋江,202211,50000
LSH001,宋江,202212,50000
LSH001,宋江,202301,52000
LSH001,宋江,202302,52000
LSH001,宋江,202303,52000
LSH001,宋江,202304,52000
LSH001,宋江,202305,52000
LSH001,宋江,202306,52000
LSH001,宋江,202307,52000
LSH001,宋江,202308,52000
LSH001,宋江,202309,52000
LSH001,宋江,202310,52000
LSH001,宋江,202311,52000
LSH001,宋江,202312,52000
LSH001,宋江,202401,55000
LSH001,宋江,202402,55000
LSH001,宋江,202403,55000
LSH001,宋江,202404,55000
LSH001,宋江,202405,55000
LSH001,宋江,202406,55000
LSH001,宋江,202407,55000
LSH001,宋江,202408,55000
LSH001,宋江,202409,55000
LSH001,宋江,202410,55000
LSH001,宋江,202411,55000
LSH001,宋江,202412,55000
LSH002,卢俊义,202201,45000
LSH002,卢俊义,202202,45000
LSH002,卢俊义,202203,45000
LSH002,卢俊义,202204,45000
LSH002,卢俊义,202205,45000
LSH002,卢俊义,202206,45000
LSH002,卢俊义,202207,45000
LSH002,卢俊义,202208,45000
LSH002,卢俊义,202209,45000
LSH002,卢俊义,202210,45000
LSH002,卢俊义,202211,45000
LSH002,卢俊义,202212,45000
LSH002,卢俊义,202301,47000
LSH002,卢俊义,202302,47000
LSH002,卢俊义,202303,47000
LSH002,卢俊义,202304,47000
LSH002,卢俊义,202305,47000
LSH002,卢俊义,202306,47000
LSH002,卢俊义,202307,47000
LSH002,卢俊义,202308,47000
LSH002,卢俊义,202309,47000
LSH002,卢俊义,202310,47000
LSH002,卢俊义,202311,47000
LSH002,卢俊义,202312,47000
LSH002,卢俊义,202401,49000
LSH002,卢俊义,202402,49000
LSH002,卢俊义,202403,49000
LSH002,卢俊义,202404,49000
LSH002,卢俊义,202405,49000
LSH002,卢俊义,202406,49000
LSH002,卢俊义,202407,49000
LSH002,卢俊义,202408,49000
LSH002,卢俊义,202409,49000
LSH002,卢俊义,202410,49000
LSH002,卢俊义,202411,49000
LSH002,卢俊义,202412,49000
LSH003,吴用,202201,40000
LSH003,吴用,202202,40000
LSH003,吴用,202203,40000
LSH003,吴用,202204,40000
LSH003,吴用,202205,40000
LSH003,吴用,202206,40000
LSH003,吴用,202207,40000
LSH003,吴用,202208,40000
LSH003,吴用,202209,40000
LSH003,吴用,202210,40000
LSH003,吴用,202211,40000
LSH003,吴用,202212,40000
LSH003,吴用,202301,42000
LSH003,吴用,202302,42000
LSH003,吴用,202303,42000
LSH003,吴用,202304,42000
LSH003,吴用,202305,42000
LSH003,吴用,202306,42000
LSH003,吴用,202307,42000
LSH003,吴用,202308,42000
LSH003,吴用,202309,42000
LSH003,吴用,202310,42000
LSH003,吴用,202311,42000
LSH003,吴用,202312,42000
LSH003,吴用,202401,45000
LSH003,吴用,202402,45000
LSH003,吴用,202403,45000
LSH003,吴用,202404,45000
LSH003,吴用,202405,45000
LSH003,吴用,202406,45000
LSH003,吴用,202407,45000
LSH003,吴用,202408,45000
LSH003,吴用,202409,45000
LSH003,吴用,202410,45000
LSH003,吴用,202411,45000
LSH003,吴用,202412,45000
LSH004,公孙胜,202201,38000
LSH004,公孙胜,202202,38000
LSH004,公孙胜,202203,38000
LSH004,公孙胜,202204,38000
LSH004,公孙胜,202205,38000
LSH004,公孙胜,202206,38000
LSH004,公孙胜,202207,38000
LSH004,公孙胜,202208,38000
LSH004,公孙胜,202209,38000
LSH004,公孙胜,202210,38000
LSH004,公孙胜,202211,38000
LSH004,公孙胜,202212,38000
LSH004,公孙胜,202301,39000
LSH004,公孙胜,202302,39000
LSH004,公孙胜,202303,39000
LSH004,公孙胜,202304,39000
LSH004,公孙胜,202305,39000
LSH004,公孙胜,202306,39000
LSH004,公孙胜,202307,39000
LSH004,公孙胜,202308,39000
LSH004,公孙胜,202309,39000
LSH004,公孙胜,202310,39000
LSH004,公孙胜,202311,39000
LSH004,公孙胜,202312,39000
LSH004,公孙胜,202401,41000
LSH004,公孙胜,202402,41000
LSH004,公孙胜,202403,41000
LSH004,公孙胜,202404,41000
LSH004,公孙胜,202405,41000
LSH004,公孙胜,202406,41000
LSH004,公孙胜,202407,41000
LSH004,公孙胜,202408,41000
LSH004,公孙胜,202409,41000
LSH004,公孙胜,202410,41000
LSH004,公孙胜,202411,41000
LSH004,公孙胜,202412,41000
LSH005,关胜,202201,35000
LSH005,关胜,202202,35000
LSH005,关胜,202203,35000
LSH005,关胜,202204,35000
LSH005,关胜,202205,35000
LSH005,关胜,202206,35000
LSH005,关胜,202207,35000
LSH005,关胜,202208,35000
LSH005,关胜,202209,35000
LSH005,关胜,202210,35000
LSH005,关胜,202211,35000
LSH005,关胜,202212,35000
LSH005,关胜,202301,36000
LSH005,关胜,202302,36000
LSH005,关胜,202303,36000
LSH005,关胜,202304,36000
LSH005,关胜,202305,36000
LSH005,关胜,202306,36000
LSH005,关胜,202307,36000
LSH005,关胜,202308,36000
LSH005,关胜,202309,36000
LSH005,关胜,202310,36000
LSH005,关胜,202311,36000
LSH005,关胜,202312,36000
LSH005,关胜,202401,38000
LSH005,关胜,202402,38000
LSH005,关胜,202403,38000
LSH005,关胜,202404,38000
LSH005,关胜,202405,38000
LSH005,关胜,202406,38000
LSH005,关胜,202407,38000
LSH005,关胜,202408,38000
LSH005,关胜,202409,38000
LSH005,关胜,202410,38000
LSH005,关胜,202411,38000
LSH005,关胜,202412,38000
LSH006,林冲,202201,33000
LSH006,林冲,202202,33000
LSH006,林冲,202203,33000
LSH006,林冲,202204,33000
LSH006,林冲,202205,33000
LSH006,林冲,202206,33000
LSH006,林冲,202207,33000
LSH006,林冲,202208,33000
LSH006,林冲,202209,33000
LSH006,林冲,202210,33000
LSH006,林冲,202211,33000
LSH006,林冲,202212,33000
LSH006,林冲,202301,34000
LSH006,林冲,202302,34000
LSH006,林冲,202303,34000
LSH006,林冲,202304,34000
LSH006,林冲,202305,34000
LSH006,林冲,202306,34000
LSH006,林冲,202307,34000
LSH006,林冲,202308,34000
LSH006,林冲,202309,34000
LSH006,林冲,202310,34000
LSH006,林冲,202311,34000
LSH006,林冲,202312,34000
LSH006,林冲,202401,36000
LSH006,林冲,202402,36000
LSH006,林冲,202403,36000
LSH006,林冲,202404,36000
LSH006,林冲,202405,36000
LSH006,林冲,202406,36000
LSH006,林冲,202407,36000
LSH006,林冲,202408,36000
LSH006,林冲,202409,36000
LSH006,林冲,202410,36000
LSH006,林冲,202411,36000
LSH006,林冲,202412,36000
LSH007,秦明,202201,30000
LSH007,秦明,202202,30000
LSH007,秦明,202203,30000
LSH007,秦明,202204,30000
LSH007,秦明,202205,30000
LSH007,秦明,202206,30000
LSH007,秦明,202207,30000
LSH007,秦明,202208,30000
LSH007,秦明,202209,30000
LSH007,秦明,202210,30000
LSH007,秦明,202211,30000
LSH007,秦明,202212,30000
LSH007,秦明,202301,31000
LSH007,秦明,202302,31000
LSH007,秦明,202303,31000
LSH007,秦明,202304,31000
LSH007,秦明,202305,31000
LSH007,秦明,202306,31000
LSH007,秦明,202307,31000
LSH007,秦明,202308,31000
LSH007,秦明,202309,31000
LSH007,秦明,202310,31000
LSH007,秦明,202311,31000
LSH007,秦明,202312,31000
LSH007,秦明,202401,33000
LSH007,秦明,202402,33000
LSH007,秦明,202403,33000
LSH007,秦明,202404,33000
LSH007,秦明,202405,33000
LSH007,秦明,202406,33000
LSH007,秦明,202407,33000
LSH007,秦明,202408,33000
LSH007,秦明,202409,33000
LSH007,秦明,202410,33000
LSH007,秦明,202411,33000
LSH007,秦明,202412,33000
LSH008,呼延灼,202201,28000
LSH008,呼延灼,202202,28000
LSH008,呼延灼,202203,28000
LSH008,呼延灼,202204,28000
LSH008,呼延灼,202205,28000
LSH008,呼延灼,202206,28000
LSH008,呼延灼,202207,28000
LSH008,呼延灼,202208,28000
LSH008,呼延灼,202209,28000
LSH008,呼延灼,202210,28000
LSH008,呼延灼,202211,28000
LSH008,呼延灼,202212,28000
LSH008,呼延灼,202301,29000
LSH008,呼延灼,202302,29000
LSH008,呼延灼,202303,29000
LSH008,呼延灼,202304,29000
LSH008,呼延灼,202305,29000
LSH008,呼延灼,202306,29000
LSH008,呼延灼,202307,29000
LSH008,呼延灼,202308,29000
LSH008,呼延灼,202309,29000
LSH008,呼延灼,202310,29000
LSH008,呼延灼,202311,29000
LSH008,呼延灼,202312,29000
LSH008,呼延灼,202401,31000
LSH008,呼延灼,202402,31000
LSH008,呼延灼,202403,31000
LSH008,呼延灼,202404,31000
LSH008,呼延灼,202405,31000
LSH008,呼延灼,202406,31000
LSH008,呼延灼,202407,31000
LSH008,呼延灼,202408,31000
LSH008,呼延灼,202409,31000
LSH008,呼延灼,202410,31000
LSH008,呼延灼,202411,31000
LSH008,呼延灼,202412,31000
LSH009,花荣,202201,26000
LSH009,花荣,202202,26000
LSH009,花荣,202203,26000
LSH009,花荣,202204,26000
LSH009,花荣,202205,26000
LSH009,花荣,202206,26000
LSH009,花荣,202207,26000
LSH009,花荣,202208,26000
LSH009,花荣,202209,26000
LSH009,花荣,202210,26000
LSH009,花荣,202211,26000
LSH009,花荣,202212,26000
LSH009,花荣,202301,27000
LSH009,花荣,202302,27000
LSH009,花荣,202303,27000
LSH009,花荣,202304,27000
LSH009,花荣,202305,27000
LSH009,花荣,202306,27000
LSH009,花荣,202307,27000
LSH009,花荣,202308,27000
LSH009,花荣,202309,27000
LSH009,花荣,202310,27000
LSH009,花荣,202311,27000
LSH009,花荣,202312,27000
LSH009,花荣,202401,29000
LSH009,花荣,202402,29000
LSH009,花荣,202403,29000
LSH009,花荣,202404,29000
LSH009,花荣,202405,29000
LSH009,花荣,202406,29000
LSH009,花荣,202407,29000
LSH009,花荣,202408,29000
LSH009,花荣,202409,29000
LSH009,花荣,202410,29000
LSH009,花荣,202411,29000
LSH009,花荣,202412,29000
LSH010,柴进,202201,5000
LSH010,柴进,202202,5000
LSH010,柴进,202203,5000
LSH010,柴进,202204,5000
LSH010,柴进,202205,5000
LSH010,柴进,202206,5000
LSH010,柴进,202207,5000
LSH010,柴进,202208,5000
LSH010,柴进,202209,5000
LSH010,柴进,202210,5000
LSH010,柴进,202211,5000
LSH010,柴进,202212,5000
LSH010,柴进,202301,5200
LSH010,柴进,202302,5200
LSH010,柴进,202303,5200
LSH010,柴进,202304,5200
LSH010,柴进,202305,5200
LSH010,柴进,202306,5200
LSH010,柴进,202307,5200
LSH010,柴进,202308,5200
LSH010,柴进,202309,5200
LSH010,柴进,202310,5200
LSH010,柴进,202311,5200
LSH010,柴进,202312,5200
LSH010,柴进,202401,5500
LSH010,柴进,202402,5500
LSH010,柴进,202403,5500
LSH010,柴进,202404,5500
LSH010,柴进,202405,5500
LSH010,柴进,202406,5500
LSH010,柴进,202407,5500
LSH010,柴进,202408,5500
LSH010,柴进,202409,5500
LSH010,柴进,202410,5500
LSH010,柴进,202411,5500
LSH010,柴进,202412,5500
LSH011,李应,202201,22000
LSH011,李应,202202,22000
LSH011,李应,202203,22000
LSH011,李应,202204,22000
LSH011,李应,202205,22000
LSH011,李应,202206,22000
LSH011,李应,202207,22000
LSH011,李应,202208,22000
LSH011,李应,202209,22000
LSH011,李应,202210,22000
LSH011,李应,202211,22000
LSH011,李应,202212,22000
LSH011,李应,202301,23000
LSH011,李应,202302,23000
LSH011,李应,202303,23000
LSH011,李应,202304,23000
LSH011,李应,202305,23000
LSH011,李应,202306,23000
LSH011,李应,202307,23000
LSH011,李应,202308,23000
LSH011,李应,202309,23000
LSH011,李应,202310,23000
LSH011,李应,202311,23000
LSH011,李应,202312,23000
LSH011,李应,202401,24000
LSH011,李应,202402,24000
LSH011,李应,202403,24000
LSH011,李应,202404,24000
LSH011,李应,202405,24000
LSH011,李应,202406,24000
LSH011,李应,202407,24000
LSH011,李应,202408,24000
LSH011,李应,202409,24000
LSH011,李应,202410,24000
LSH011,李应,202411,24000
LSH011,李应,202412,24000
LSH012,朱仝,202201,24000
LSH012,朱仝,202202,24000
LSH012,朱仝,202203,24000
LSH012,朱仝,202204,24000
LSH012,朱仝,202205,24000
LSH012,朱仝,202206,24000
LSH012,朱仝,202207,24000
LSH012,朱仝,202208,24000
LSH012,朱仝,202209,24000
LSH012,朱仝,202210,24000
LSH012,朱仝,202211,24000
LSH012,朱仝,202212,24000
LSH012,朱仝,202301,25000
LSH012,朱仝,202302,25000
LSH012,朱仝,202303,25000
LSH012,朱仝,202304,25000
LSH012,朱仝,202305,25000
LSH012,朱仝,202306,25000
LSH012,朱仝,202307,25000
LSH012,朱仝,202308,25000
LSH012,朱仝,202309,25000
LSH012,朱仝,202310,25000
LSH012,朱仝,202311,25000
LSH012,朱仝,202312,25000
LSH012,朱仝,202401,26000
LSH012,朱仝,202402,26000
LSH012,朱仝,202403,26000
LSH012,朱仝,202404,26000
LSH012,朱仝,202405,26000
LSH012,朱仝,202406,26000
LSH012,朱仝,202407,26000
LSH012,朱仝,202408,26000
LSH012,朱仝,202409,26000
